event,site,white,white_elo,black,black_elo,result,termination,time_control,opening,moves
Rated Bullet game,https://lichess.org/rzhm0tmn,fil77,1401,PierreDaChello,1515,0-1,Normal,60+0,Horwitz Defense,1. d4 e6 2. f3 d6 3. h4 b6 4. g4 Bb7 5. e4 Nd7 6. Bd3 g6 7. Be3 Bg7 8. g5 Ne7 9. f4 O-O 10. Nf3 e5 11. Nbd2 exf4 12. Bxf4 f6 13. c3 fxg5 14. Bxg5 Bf6 15. Qc2 Bxg5 16. Nxg5 Nc6 17. O-O-O Rf6 18. Rh2 Kg7 19. Ne6+ Rxe6 20. e5 dxe5 21. h5 exd4 22. Re1 Rxe1+ 23. Qd1 Rxd1+ 24. Kxd1 Qg5 25. cxd4 Nc5 26. Kc2 Nxd3 27. Kxd3 Qxd2+ 28. Kxd2 Nb4 29. Re2 Nxa2 30. Re7+ Kf6 31. Rxc7 Be4 32. Rxh7 gxh5 33. Rxh5 Kg6 34. Rh6+ Kxh6 35. Ke3 Kg5 36. Kxe4 Re8+ 37. Kd5 Rd8+ 38. Kc6 Rxd4 39. Kb7 Rb4 40. Kxa7 Rxb2 41. Kb7 Nc3 42. Kc7 b5 43. Kb6 Rb1 44. Kc5 b4 45. Kc4 b3 46. Kxc3 b2 47. Kb3 Rg1 48. Kc2 Rg3 49. Kxb2 Kf4 50. Kc2 Ke4 51. Kd2 Kd4 52. Ke2 Ke4 53. Kf2 Ra3 54. Ke2 Ra2+ 55. Ke1 Ke3 56. Kd1 Rh2 57. Ke1 Rh1#
Rated Bullet game,https://lichess.org/mj65f4y8,fil77,1393,ivanbruno,1195,1-0,Time forfeit,60+0,Queen's Pawn Game,1. d4 d5 2. f3 e6 3. h4 a6 4. e4 h6 5. e5 Nc6 6. f4 Bd7 7. g3 Be7 8. c3 f6 9. Be3 fxe5 10. Bd3 e4 11. Bc2 Na5 12. Nd2 c6 13. Nh3 Qb6 14. g4 Qxb2 15. Rb1 Qxc3 16. Ke2 Nc4 17. Rb3 Qa5 18. Nxc4 dxc4 19. Rb1 O-O-O 20. Bxe4 Nf6 21. Qb3 Qc7 22. Qxc4 Nxe4 23. Rhc1 Ng3+ 24. Kd2
Rated Bullet game,https://lichess.org/shvts5u8,fil77,1399,ivanbruno,1188,0-1,Normal,60+0,Queen's Pawn,1. d4 d6 2. f3 e5 3. e4 exd4 4. Qxd4 Nf6 5. c3 Nc6 6. Qd1 a6 7. Be3 Be7 8. Bd3 Ne5 9. Nd2 Nxd3+ 10. Kf1 Nxb2 11. Qc2 Nc4 12. Ne2 Nxd2+ 13. Bxd2 c5 14. Bg5 Bd7 15. Qd2 Qc7 16. h4 O-O-O 17. Kf2 h6 18. a4 hxg5 19. hxg5 Rxh1 20. Rxh1 Ne8 21. Nc1 Qa5 22. Nb3 Qxa4 23. Qc2 c4 24. Nd4 Qa3 25. Rb1 d5 26. Nb5 Qc5+ 27. Nd4 f6 28. Kg3 fxg5 29. Kh2 Nf6 30. Kg1 Rg8 31. Kf1 Rh8 32. Qd2 Nh5 33. Qe2 Ng3+ 34. Kf2 Nxe2 35. Kxe2 Bf5 36. Rd1 Bxe4 37. fxe4 dxe4 38. Rd2 Bf6 39. Ke1 Bxd4 40. Kd1 Bxc3 41. Kc1 Bxd2+ 42. Kxd2 Qb4+ 43. Ke3 c3 44. Kf2 Qc5+ 45. Kg3 Qe3+ 46. Kg4 Qf4#
Rated Bullet game,https://lichess.org/km2aynp4,fil77,1382,ivanbruno,1209,1-0,Normal,120+0,Queen's Pawn,1. d4 d6 2. f3 e5 3. e4 exd4 4. Qxd4 Nc6 5. Qd1 Nf6 6. Bd3 h6 7. Be3 a6 8. g4 Bd7 9. g5 hxg5 10. Bxg5 Be7 11. f4 Nd4 12. Nf3 Nxf3+ 13. Qxf3 Bg4 14. Qg3 c5 15. Bxf6 Qa5+ 16. c3 Bxf6 17. Qxg4 O-O 18. Qe2 Qb6 19. Na3 Qxb2 20. Qxb2 Bxc3+ 21. Qxc3 f6 22. Nc4
Rated Bullet game,https://lichess.org/kc8qnfhx,fil77,1388,ivanbruno,1202,1-0,Time forfeit,120+0,Queen's Pawn,1. d4 d6 2. f3 h6 3. h4 Nf6 4. g4 d5 5. g5 hxg5 6. Bxg5 c6 7. Bxf6 exf6 8. e4 dxe4 9. fxe4 Qd6 10. c3 Qg3+ 11. Kd2 Bg4 12. Qe1 Bd6 13. Ne2 Qf3 14. Rg1 Qxe4 15. Rxg4 Qxg4 16. Kd1 O-O 17. Nd2 Na6 18. Kc2 Qe6 19. Nb3 Qd5 20. Rd1 c5 21. dxc5 Qf5+ 22. Kc1 Nxc5 23. Nxc5 Qxc5 24. Nd4 Qa5 25. Kb1 Bc5 26. Qd2 Rad8 27. Qf2 Rd6 28. Be2 Rxd4 29. Rxd4 Bxd4 30. Qxd4 Rd8 31. Qe3 Rd1+ 32. Kc2 Qa4+ 33. b3
Rated Bullet game,https://lichess.org/ku2tcecd,fil77,1394,GRABott,1617,0-1,Normal,120+0,Old Benoni Defense,1. d4 c5 2. f3 cxd4 3. Qxd4 Nc6 4. Qd1 Nf6 5. e4 g6 6. Be3 Bg7 7. Bd3 O-O 8. c3 d5 9. Nd2 dxe4 10. fxe4 Bg4 11. Qc2 Ne5 12. Be2 Bxe2 13. Nxe2 Nd3+ 14. Kd1 Ng4 15. Ng3 Nxe3+
Rated Bullet game,https://lichess.org/7bu1xx5t,fil77,1389,mustroll,1365,0-1,Normal,120+0,Queen's Pawn,1. d4 a6 2. f3 b5 3. h4 Bb7 4. g4 Nc6 5. e3 e6 6. c3 b4 7. e4 bxc3 8. Nxc3 Bb4 9. Bd3 Nxd4 10. Bd2 Bxc3 11. Bxc3 Nb5 12. Bxg7 Nf6 13. Bxh8 d5 14. e5 Nd7 15. Bf6 Nxf6 16. exf6 Qxf6 17. Qe2 Nd4 18. Qd2 Nxf3+ 19. Kd1 Nxd2 20. Kxd2 Qf2+ 21. Ne2 c5 22. Raf1 Qxf1 23. Rxf1 c4 24. Nf4 cxd3 25. Kxd3 e5 26. Nh5 e4+ 27. Kd4 O-O-O 28. Nf6 Bc6 29. Nxh7 Bb5 30. Rxf7 a5 31. Nf6 Bc4 32. h5 Bxa2 33. g5 a4 34. g6 a3 35. g7 axb2 36. g8=Q Rxg8 37. Nxg8 b1=Q 38. h6 Qd3+ 39. Ke5 Qc3+ 40. Ke6 Qh8 41. Rf8+ Kc7 42. Ke7 Qh7+ 43. Ke8 d4 44. Rf7+ Bxf7+ 45. Kf8 Qxg8+
Rated Bullet game,https://lichess.org/c29bjxje,fil77,1377,DamarMetesi,1500,1-0,Time forfeit,120+0,Queen's Pawn Game,1. d4 d5 2. f3 Nc6 3. h4 Bf5 4. g4 Bg6 5. c3 f5 6. Nd2 fxg4 7. fxg4 e6 8. h5 Be4 9. Nxe4 dxe4 10. g5 Bd6 11. Rh3 Nge7 12. Qc2
Rated Bullet game,https://lichess.org/dar2mq1p,fil77,1386,DamarMetesi,1253,1-0,Time forfeit,120+0,Queen's Pawn Game,1. d4 d5 2. f3 Bf5 3. h4 Nc6 4. g4 Be6 5. e4 dxe4 6. fxe4 Nxd4 7. c3 Nc6 8. Qxd8+ Rxd8 9. Be3 Nf6 10. g5 Ng4 11. Bxa7 Ra8 12. Nd2 f6 13. O-O-O fxg5 14. Bd4 Bd7 15. a3 e5 16. Ndf3 exd4 17. hxg5 Bc5 18. c4 Ne3 19. Re1 Nxf1 20. Rxf1 d3 21. g6 Bxg1 22. Rfxg1 Na5 23. Rxh7 Nb3+ 24. Kb1 d2 25. Ne5
Rated Bullet game,https://lichess.org/7rlmd14o,fil77,1393,Benimacleter,1581,1-0,Normal,120+0,Horwitz Defense,1. d4 e6 2. f3 Nc6 3. h4 Nf6 4. g4 Bb4+ 5. c3 Bd6 6. e4 e5 7. d5 Ne7 8. g5 Nfg8 9. Bd3 c6 10. Be3 cxd5 11. Qc2 dxe4 12. Bxe4 g6 13. h5 f6 14. hxg6 Nxg6 15. Bxg6+ hxg6 16. Qxg6+ Ke7 17. Rxh8 Ke6 18. Rxg8 Qe7 19. Rg7 Qf8 20. Rf7 Qd8 21. Rxf6+ Ke7 22. Rf7+ Ke8 23. Qg8+ Bf8 24. Qxf8#
